Model,Augmentations_used,Trial,mse_Dipole_moment,mae_Dipole_moment,r2_Dipole_moment,mse_Isotropic_polarizability,mae_Isotropic_polarizability,r2_Isotropic_polarizability,mse_Highest_occupied_molecular_orbital_energy,mae_Highest_occupied_molecular_orbital_energy,r2_Highest_occupied_molecular_orbital_energy,mse_Lowest_unoccupied_molecular_orbital_energy,mae_Lowest_unoccupied_molecular_orbital_energy,r2_Lowest_unoccupied_molecular_orbital_energy,mse_Gap_between_previous_2,mae_Gap_between_previous_2,r2_Gap_between_previous_2,mse_Electronic_spatial_extent,mae_Electronic_spatial_extent,r2_Electronic_spatial_extent,mse_Zero_point_vibrational_energy,mae_Zero_point_vibrational_energy,r2_Zero_point_vibrational_energy,mse_Internal_energy_at_0K,mae_Internal_energy_at_0K,r2_Internal_energy_at_0K,mse_Internal_energy_at_298.15K,mae_Internal_energy_at_298.15K,r2_Internal_energy_at_298.15K,mse_Enthalpy_at_298.15K,mae_Enthalpy_at_298.15K,r2_Enthalpy_at_298.15K,mse_Free_energy_at_298.15K,mae_Free_energy_at_298.15K,r2_Free_energy_at_298.15K,mse_Heat_capacity_at_298.15K,mae_Heat_capacity_at_298.15K,r2_Heat_capacity_at_298.15K,mse_Atomization_energy_at_0K,mae_Atomization_energy_at_0K,r2_Atomization_energy_at_0K,mse_Atomization_energy_at_298.15K,mae_Atomization_energy_at_298.15K,r2_Atomization_energy_at_298.15K,mse_Atomization_enthalpy_at_298.15K,mae_Atomization_enthalpy_at_298.15K,r2_Atomization_enthalpy_at_298.15K,mse_Atomization_free_energy_at_298.15K,mae_Atomization_free_energy_at_298.15K,r2_Atomization_free_energy_at_298.15K,mse_Rotational_constant_A,mae_Rotational_constant_A,r2_Rotational_constant_A,mse_Rotational_constant_B,mae_Rotational_constant_B,r2_Rotational_constant_B,mse_Rotational_constant_C,mae_Rotational_constant_C,r2_Rotational_constant_C
GCL_VicReg,10,1,1.6389527,1.0364066,-4.035275,143.84773,9.798897,-3.9104536,0.4986574,0.52520657,-24.562923,1.0200065,0.84089404,-0.47861043,1.1543299,0.8981567,-0.87186027,102947.67,274.15152,-10.858346,0.37071845,0.46810186,0.48115793,3142080.0,1430.2701,-6.6148543,3141256.2,1430.0679,-6.6340365,3141837.0,1430.2141,-6.618443,3142023.5,1430.248,-6.6211443,23.24672,3.6786468,-2.4676669,122.44409,8.755761,-0.45075068,124.02941,8.813289,-0.44248593,125.4445,8.862305,-0.4368603,105.128044,8.111397,-0.47674063,10.941895,1.7576416,-230.13011,3.5657456,0.6144748,-737.31,3.2292764,0.4528599,-919.0871
GCL_VicReg,10,2,1.6477513,1.0444758,-3.7813144,144.935,9.801603,-5.2260656,0.5109543,0.5367841,-29.215628,1.0760386,0.8586594,-0.6720692,1.217878,0.90945464,-1.3734288,105746.94,277.33417,-10.667485,0.37646216,0.47379515,0.45013973,3197957.2,1426.3412,-12.182902,3197846.2,1426.3185,-12.182121,3198247.0,1426.4176,-12.173239,3198077.8,1426.3625,-12.185211,23.115664,3.6497624,-2.232518,122.361275,8.828742,-0.5870193,123.968605,8.888096,-0.5783361,125.38549,8.937732,-0.57218164,105.0423,8.181697,-0.6224038,10.916343,1.766142,-110.54463,3.5789104,0.6133463,-503.77283,3.2523847,0.45445952,-756.27374
GCL_VicReg,10,3,1.6507269,1.0358446,-3.7693117,148.49849,9.887141,-4.3134594,0.49871486,0.52212924,-28.943995,1.0715578,0.86273736,-0.6319718,1.1876976,0.90847206,-1.1184529,107476.44,276.03625,-12.0740185,0.42593604,0.50999224,0.4010352,3072681.5,1407.9839,-8.1864395,3072766.0,1407.9999,-8.196195,3072727.0,1407.9922,-8.193853,3073006.5,1408.0477,-8.197894,24.828548,3.7761593,-2.5182528,129.42476,8.980263,-0.56736994,131.12538,9.040463,-0.5580469,132.65895,9.092088,-0.55285996,110.8976,8.312846,-0.59452444,10.879292,1.7551355,-166.87065,3.564217,0.6175228,-621.8649,3.2275608,0.4525874,-1138.4556
GCL_VicReg,10,4,1.6940345,1.0381631,-2.9578264,148.05598,9.888402,-5.9876947,0.5006379,0.5219835,-20.32663,1.0977315,0.8766532,-0.7716491,1.2416638,0.92943704,-1.4712042,104226.3,272.84384,-7.19467,0.4150538,0.5022057,0.3632493,3113590.8,1400.1154,-13.980536,3113833.0,1400.2097,-13.961428,3113777.0,1400.1909,-13.96433,3113885.0,1400.1931,-13.974322,23.79029,3.7591531,-2.1778467,127.16626,8.990476,-0.7723387,128.85739,9.051204,-0.76264834,130.35532,9.102134,-0.7557098,108.95129,8.324379,-0.80786383,11.058729,1.7985618,-231.79294,3.5723822,0.61382526,-685.5716,3.241644,0.4494858,-1329.868
GCL_VicReg,10,5,1.6841717,1.0507313,-4.689928,150.1555,9.943642,-5.4801564,0.5208075,0.5381539,-86.91229,1.1558981,0.8873326,-0.9824373,1.2097753,0.91101307,-1.3396553,104103.61,271.68268,-9.597392,0.44815937,0.50976866,0.3370868,3179152.8,1426.0709,-13.0611515,3179088.8,1426.0618,-13.055308,3179105.5,1426.0675,-13.05201,3179356.0,1426.1182,-13.053913,23.986753,3.7098026,-2.1661,133.58058,9.080422,-0.7553726,135.37163,9.142713,-0.7458937,136.95035,9.194713,-0.73953646,114.54542,8.411003,-0.7919188,10.930254,1.7635257,-172.38364,3.5778327,0.61503017,-583.76984,3.2469456,0.45061892,-1372.4857
GCL_VicReg,10,6,1.7809583,1.0607677,-2.1061943,146.0518,9.851097,-3.8462493,0.48212513,0.50739807,-10.615218,1.0683254,0.8526712,-0.35039642,1.2306871,0.9220368,-0.8537094,104884.75,272.1973,-10.829057,0.44903505,0.5224797,0.31656593,2923402.2,1389.5896,-4.4729843,2924090.2,1389.6847,-4.4622955,2923830.5,1389.6466,-4.4657903,2923973.8,1389.6818,-4.467424,24.865793,3.7902563,-2.3950808,133.15886,9.151177,-0.8292037,134.91232,9.212639,-0.81720585,136.52972,9.266924,-0.8127703,114.059875,8.47139,-0.8679206,10.972324,1.7667658,-194.67796,3.56844,0.6107793,-503.4707,3.243762,0.44996956,-640.45154
GCL_VicReg,10,7,1.6709014,1.043404,-4.324957,151.03831,9.873417,-5.3452573,0.5081292,0.5206643,-20.620783,1.058133,0.8467157,-0.5358597,1.2162641,0.9137971,-1.0375547,101790.4,268.80264,-7.4472966,0.43201962,0.5066029,0.35630286,2890040.8,1395.2802,-6.7580357,2889952.2,1395.2612,-6.757677,2889869.2,1395.2426,-6.757523,2890104.0,1395.2922,-6.758333,22.941513,3.5853364,-1.6727935,133.78848,9.061822,-0.84483016,135.55731,9.122801,-0.8337166,137.13075,9.174489,-0.8265692,114.79394,8.393207,-0.88910306,10.899153,1.755952,-172.83011,3.5733662,0.6067473,-569.7205,3.2254777,0.4448149,-678.47186
GCL_VicReg,10,8,1.649105,1.0417016,-3.6460874,145.12302,9.8140545,-3.2753766,0.49252665,0.5270513,-13.164046,1.0936899,0.85508114,-0.23269123,1.261789,0.9171527,-0.5911491,100686.63,266.4988,-4.5984025,0.38213924,0.47802386,0.53248656,3129672.8,1430.8687,-6.8128533,3130276.5,1430.9713,-6.800464,3131559.8,1431.1946,-6.778538,3131207.0,1431.1406,-6.7896395,21.918789,3.5256243,-1.1989524,123.37272,8.812581,-0.34491393,124.98636,8.871456,-0.33541164,126.41225,8.920563,-0.3279897,105.92025,8.16147,-0.37100628,11.032855,1.7941219,-397.50406,3.5994747,0.6150501,-881.5975,3.2764952,0.45261043,-581.62695
GCL_VicReg,10,9,1.5901152,1.0246222,-3.2635076,147.5517,9.96794,-5.154699,0.50448716,0.52280295,-25.258741,1.0781686,0.849802,-0.423892,1.2294288,0.9048772,-0.8329683,104741.086,272.75592,-8.858017,0.4115122,0.4958091,0.43563393,3121884.8,1415.9232,-9.515872,3121314.5,1415.792,-9.536938,3121474.2,1415.8297,-9.52968,3121772.0,1415.8901,-9.528968,23.58481,3.6332679,-2.0865896,128.51805,9.039578,-0.59136575,130.21257,9.100038,-0.58093923,131.72249,9.151486,-0.57585627,110.235306,8.376998,-0.62533176,10.977774,1.7713788,-137.70363,3.56581,0.61174846,-458.95908,3.2515168,0.4485543,-1063.7676
GCL_VicReg,10,10,1.6831745,1.0471959,-4.250003,146.36563,9.897152,-5.1057563,0.49838135,0.51759267,-26.301771,1.1237751,0.8810542,-0.6191658,1.2700227,0.9214179,-1.1549542,101626.39,271.13547,-7.1301312,0.39390424,0.49596617,0.43998873,3066155.8,1406.4589,-8.000785,3066092.5,1406.4447,-8.000526,3066598.2,1406.535,-8.00519,3066548.5,1406.5331,-8.003655,21.872778,3.522151,-1.5408366,124.51019,8.978123,-0.5964512,126.1482,9.037803,-0.58705115,127.59591,9.088725,-0.5805628,106.85114,8.318431,-0.6332763,10.923428,1.7879407,-110.196884,3.592297,0.62455213,-336.89273,3.2585945,0.45583043,-601.7687
GCL_VicReg,240,1,1.7103703,1.0583192,-3.475026,146.45105,9.853975,-4.2661633,0.514531,0.5384085,-16.830498,1.1300666,0.87642246,-0.4874556,1.257496,0.9194852,-1.3344862,104762.3,274.85986,-10.458311,0.4489545,0.52423084,0.36991426,3189540.5,1427.8903,-12.173168,3188708.5,1427.6764,-12.213523,3189042.0,1427.7653,-12.194814,3189477.8,1427.8638,-12.186948,24.464859,3.754658,-1.6301534,130.7316,8.977417,-0.6550924,132.47374,9.038136,-0.6470834,134.0213,9.089575,-0.6398209,112.05148,8.3142605,-0.6941305,10.957144,1.7605554,-270.85645,3.5822608,0.6178294,-933.88696,3.2511008,0.4548762,-2013.5588
GCL_VicReg,240,2,1.6749346,1.0368125,-4.228371,144.63268,9.773251,-3.852289,0.521043,0.5333585,-14.424828,1.0808799,0.86136276,-0.74345064,1.2494044,0.9197844,-1.8384492,105614.805,276.48508,-13.240685,0.44490272,0.5096686,0.3349223,3040596.8,1406.2242,-7.6510158,3040792.0,1406.301,-7.637016,3040697.5,1406.27,-7.641476,3040768.2,1406.261,-7.650707,23.979908,3.6957164,-1.6938958,130.64879,8.969668,-0.6583554,132.41325,9.0308485,-0.65103436,133.96263,9.082105,-0.6443672,111.835625,8.300575,-0.68405867,10.83735,1.7484945,-80.88783,3.5775151,0.6175061,-777.8701,3.2331831,0.4533768,-1252.3904
GCL_VicReg,240,3,1.6412529,1.0310131,-3.8514323,145.05824,9.779722,-4.220885,0.5052909,0.5281423,-23.010143,1.2612443,0.9249137,-1.3511478,1.3437239,0.96406823,-2.247183,105532.89,274.36682,-14.66788,0.4859411,0.538198,0.19775958,3172743.8,1431.2784,-8.261347,3172814.5,1431.3024,-8.252028,3172758.2,1431.2878,-8.254871,3172913.2,1431.3129,-8.261558,24.36962,3.750274,-2.5425558,132.1836,9.044896,-0.8038966,133.99709,9.107438,-0.7955914,135.59648,9.160304,-0.7901727,112.94247,8.363098,-0.82538116,10.871852,1.75057,-176.13904,3.582728,0.6166419,-444.89868,3.2450116,0.45252985,-703.9755
GCL_VicReg,240,4,1.7505555,1.0797676,-6.2597766,149.89339,10.039339,-6.028732,0.5123989,0.53744036,-37.867874,1.0950284,0.8656766,-0.5865348,1.2640847,0.93007165,-0.97816545,105321.06,276.05997,-9.754935,0.4335192,0.52220315,0.29201594,3108839.0,1413.2695,-8.711944,3109045.5,1413.4014,-8.681847,3108845.5,1413.298,-8.702007,3109112.2,1413.362,-8.699687,25.108013,3.8489568,-2.2173975,130.66956,9.169595,-0.9187211,132.38112,9.23095,-0.9071335,133.95724,9.285191,-0.90130526,112.07569,8.4923725,-0.9600856,10.842861,1.755956,-252.42365,3.6227803,0.61473554,-201.36852,3.2533205,0.44779715,-887.4013
