Model,Augmentations_used,Trial,mse_Dipole_moment,mae_Dipole_moment,r2_Dipole_moment,mse_Isotropic_polarizability,mae_Isotropic_polarizability,r2_Isotropic_polarizability,mse_Highest_occupied_molecular_orbital_energy,mae_Highest_occupied_molecular_orbital_energy,r2_Highest_occupied_molecular_orbital_energy,mse_Lowest_unoccupied_molecular_orbital_energy,mae_Lowest_unoccupied_molecular_orbital_energy,r2_Lowest_unoccupied_molecular_orbital_energy,mse_Gap_between_previous_2,mae_Gap_between_previous_2,r2_Gap_between_previous_2,mse_Electronic_spatial_extent,mae_Electronic_spatial_extent,r2_Electronic_spatial_extent,mse_Zero_point_vibrational_energy,mae_Zero_point_vibrational_energy,r2_Zero_point_vibrational_energy,mse_Internal_energy_at_0K,mae_Internal_energy_at_0K,r2_Internal_energy_at_0K,mse_Internal_energy_at_298.15K,mae_Internal_energy_at_298.15K,r2_Internal_energy_at_298.15K,mse_Enthalpy_at_298.15K,mae_Enthalpy_at_298.15K,r2_Enthalpy_at_298.15K,mse_Free_energy_at_298.15K,mae_Free_energy_at_298.15K,r2_Free_energy_at_298.15K,mse_Heat_capacity_at_298.15K,mae_Heat_capacity_at_298.15K,r2_Heat_capacity_at_298.15K,mse_Atomization_energy_at_0K,mae_Atomization_energy_at_0K,r2_Atomization_energy_at_0K,mse_Atomization_energy_at_298.15K,mae_Atomization_energy_at_298.15K,r2_Atomization_energy_at_298.15K,mse_Atomization_enthalpy_at_298.15K,mae_Atomization_enthalpy_at_298.15K,r2_Atomization_enthalpy_at_298.15K,mse_Atomization_free_energy_at_298.15K,mae_Atomization_free_energy_at_298.15K,r2_Atomization_free_energy_at_298.15K,mse_Rotational_constant_A,mae_Rotational_constant_A,r2_Rotational_constant_A,mse_Rotational_constant_B,mae_Rotational_constant_B,r2_Rotational_constant_B,mse_Rotational_constant_C,mae_Rotational_constant_C,r2_Rotational_constant_C
GCL_VicReg,24,1,1.7179381,1.0749114,-5.3897696,153.8451,10.06561,-6.5584903,0.51897436,0.5331013,-46.87457,1.3245611,0.95028126,-1.8516291,1.3890179,0.9842367,-2.3971577,108672.61,278.71957,-14.321465,0.6181367,0.6162969,-0.25325546,3118608.0,1409.656,-9.067686,3118545.8,1409.6349,-9.065231,3118531.8,1409.6382,-9.066638,3118763.8,1409.6831,-9.067269,26.73137,3.9329932,-4.1474376,150.82024,9.71118,-1.7095494,152.92949,9.779735,-1.6953014,154.80666,9.838834,-1.6881304,128.7582,8.974284,-1.7438176,10.9408655,1.7722028,-288.41138,3.6096435,0.6148719,-405.23767,3.2607925,0.44988698,-1251.9207
GCL_VicReg,24,2,39172.188,151.14725,-0.008079751,16594.605,97.94133,-0.08076406,428365.7,499.61206,-0.0047511337,70249.45,202.23094,-0.0026146527,151778.9,297.4879,-0.0062225335,2413922000.0,37477.438,-0.0061062193,104265.69,246.4915,-0.0069498173,49997574000.0,170485.06,-0.0018091667,49995230000.0,170481.08,-0.001809119,49995182000.0,170480.98,-0.0018089938,50001416000.0,170491.58,-0.0018096294,357704.84,456.22363,-0.00805828,11555079.0,2594.4556,-0.0076177837,11802937.0,2622.1384,-0.007611842,11995692.0,2643.4653,-0.0076058325,9574807.0,2361.688,-0.007678872,566450.5,574.64154,-0.0039685024,122663.93,267.45386,-0.0036103355,34729.125,142.32985,-0.0035202098
GCL_VicReg,24,3,1.7499772,1.0816797,-6.831672,152.84108,10.066232,-6.5913343,0.509357,0.53674173,-15.581637,1.4475291,0.9935639,-3.7471132,1.5326527,1.0263145,-4.090816,111058.79,281.2768,-20.798481,0.77620614,0.6998322,-1.319096,3077990.2,1401.1398,-7.342309,3077922.0,1401.1246,-7.3415594,3078105.2,1401.1345,-7.333964,3078152.5,1401.1686,-7.341622,27.794611,4.044068,-5.5269604,165.9913,10.273279,-3.1052952,168.42816,10.349062,-3.0888286,170.55806,10.413927,-3.0820556,141.21017,9.476386,-3.1164644,10.8952,1.7664742,-449.03604,3.6400983,0.6230691,-399.5394,3.2657552,0.45189968,-1049.3129
GCL_VicReg,24,4,1.7738856,1.0900065,-6.7760687,151.86012,10.059232,-5.7010117,0.5203306,0.5363129,-32.772335,1.4679838,1.004508,-4.396406,1.4951347,1.015224,-5.480322,108174.73,278.9236,-15.7084255,0.71938986,0.66711825,-1.0121605,3084396.8,1403.5359,-7.196259,3084283.2,1403.508,-7.191723,3084310.2,1403.5178,-7.195177,3084522.5,1403.5583,-7.194281,26.84231,4.0112157,-5.075794,159.9348,10.062711,-2.4111645,162.26393,10.135901,-2.399642,164.29805,10.198715,-2.3943624,136.23648,9.287059,-2.4076376,10.974266,1.7789927,-311.64035,3.605123,0.6182495,-456.53494,3.2569375,0.45321357,-961.753
GCL_VicReg,24,5,1.7783028,1.0866089,-7.0907364,151.54117,10.082676,-7.2065496,0.48005188,0.51640856,-16.521063,1.336368,0.96257913,-2.6453493,1.4712237,0.99314094,-4.2223015,109143.25,279.14224,-14.173616,0.6666104,0.6569102,-0.7245139,3135739.0,1410.5812,-9.669791,3135657.2,1410.5663,-9.669576,3135522.5,1410.5565,-9.672801,3135765.2,1410.6033,-9.673271,26.463171,3.9573514,-4.3480167,157.20128,10.098408,-2.605335,159.4497,10.171656,-2.588678,161.4236,10.234036,-2.579456,134.11913,9.328117,-2.646093,10.99182,1.7759737,-612.7395,3.622715,0.6178356,-363.6862,3.2677023,0.45208284,-556.7832
GCL_VicReg,24,6,1.7571517,1.0827469,-6.9703965,153.81769,10.072549,-6.4417024,0.4847549,0.52183044,-13.141537,1.3707434,0.97868574,-3.7486587,1.5030656,1.0294154,-6.1922073,110152.77,280.20605,-27.82052,0.7868544,0.71120536,-1.8229855,3067082.0,1398.7089,-7.059612,3067137.5,1398.6655,-7.046653,3067040.8,1398.6829,-7.055348,3067284.0,1398.7261,-7.0543027,28.157993,4.1063805,-7.5271044,170.42424,10.314053,-3.3846476,172.94469,10.391026,-3.3678858,175.13538,10.456851,-3.3644984,145.14864,9.515404,-3.3547287,10.94244,1.8267038,-46.224533,3.7100878,0.66632974,-70.94216,3.300636,0.4774575,-206.71155
GCL_VicReg,24,7,1.781481,1.0954927,-6.491884,150.95764,9.9757395,-5.396499,0.50274014,0.5335231,-18.520271,1.3544883,0.961602,-2.3044403,1.4311593,0.99525076,-3.8556988,107768.69,277.64706,-14.409889,0.66187716,0.6477082,-0.57427895,3066801.2,1405.6588,-7.423911,3066721.0,1405.643,-7.423419,3066737.5,1405.6466,-7.4229503,3066958.0,1405.6906,-7.424126,25.848217,3.900151,-3.7067928,156.46465,9.947317,-2.0813875,158.72006,10.020345,-2.069593,160.68451,10.082231,-2.062414,133.42691,9.183802,-2.1015632,10.921667,1.762021,-215.61227,3.620342,0.6182369,-222.0589,3.249589,0.45371252,-526.08453
GCL_VicReg,24,8,1.8143386,1.0877409,-5.936441,157.18112,10.175499,-7.0423017,0.48044097,0.5283144,-12.288363,1.3697883,0.9744005,-2.4625745,1.5901555,1.0446675,-5.790539,109286.61,280.89398,-33.939396,0.8257166,0.71511614,-1.6117845,3072045.8,1401.3176,-9.013533,3071670.5,1401.2771,-9.015496,3071626.2,1401.2732,-9.015835,3072018.0,1401.3318,-9.015237,27.837547,4.0412307,-5.168144,172.22638,10.412362,-3.135433,174.76918,10.48928,-3.1166122,177.00946,10.556041,-3.11351,146.49603,9.6023855,-3.1268346,11.158499,1.821578,-118.351006,3.693894,0.66358507,-70.72755,3.284321,0.47721177,-169.06415
GCL_VicReg,24,9,1.7285305,1.0672532,-4.209198,147.09026,9.918613,-4.874064,0.49503076,0.5347214,-8.188457,1.1877708,0.9037533,-1.0458807,1.3817059,0.9799742,-2.2784984,109730.2,280.27307,-22.196476,0.5805405,0.5980148,-0.096477695,3111312.0,1413.6853,-9.354677,3110919.5,1413.602,-9.347931,3110568.8,1413.5278,-9.340721,3111415.8,1413.7053,-9.354689,25.814669,3.9084623,-3.6364584,145.33861,9.600548,-1.189373,147.3407,9.667552,-1.1792712,149.15875,9.726211,-1.1742843,124.04092,8.869894,-1.2027404,10.979328,1.7957715,-87.55298,3.720543,0.6691911,-59.605625,3.3215563,0.48398164,-165.422
GCL_VicReg,24,10,1.8785774,1.1131688,-2.3959787,152.02032,10.038294,-8.129278,0.5239786,0.54360944,-23.151001,1.4425213,1.0048763,-3.3733625,1.4788293,1.0069643,-5.2009745,110346.08,281.85614,-16.630207,0.68568957,0.6620085,-0.7038077,3106079.5,1409.6274,-9.314968,3104791.8,1409.4485,-9.373314,3104616.2,1409.4249,-9.381979,3106132.5,1409.6439,-9.319739,25.879955,3.8949382,-4.5711675,157.07947,10.065311,-2.592114,159.35901,10.138539,-2.574534,161.32462,10.199896,-2.5556386,133.99876,9.298514,-2.6563663,11.654343,1.8839732,-100.63906,3.83523,0.67888844,-51.522285,3.3760083,0.4963355,-86.48396
